class	num	num	num	num	num	comment
20	8	307.0	130.0	3504	12.0	chevrolet chevelle malibu
15	8	350.0	165.0	3693	11.5	buick skylark 320
20	8	318.0	150.0	3436	11.0	plymouth satellite
15	8	304.0	150.0	3433	12.0	amc rebel sst
15	8	302.0	140.0	3449	10.5	ford torino
15	8	429.0	198.0	4341	10.0	ford galaxie 500
15	8	454.0	220.0	4354	9.0	chevrolet impala
15	8	440.0	215.0	4312	8.5	plymouth fury iii
15	8	455.0	225.0	4425	10.0	pontiac catalina
20	4	140.0	90.00	2408	19.5	chevrolet vega
20	4	122.0	86.00	2226	16.5	ford pinto runabout
15	8	350.0	165.0	4274	12.0	chevrolet impala
15	8	400.0	175.0	4385	12.0	pontiac catalina
15	8	318.0	150.0	4135	13.5	plymouth fury iii
15	8	351.0	153.0	4129	13.0	ford galaxie 500
15	8	304.0	150.0	3672	11.5	amc ambassador sst
10	8	429.0	208.0	4633	11.0	mercury marquis
15	8	350.0	155.0	4502	13.5	buick lesabre custom
10	8	350.0	160.0	4456	13.5	oldsmobile delta 88 royale
15	8	400.0	190.0	4422	12.5	chrysler newport royal
20	3	70.00	97.00	2330	13.5	mazda rx2 coupe
15	8	304.0	150.0	3892	12.5	amc matador (sw)
15	8	307.0	130.0	4098	14.0	chevrolet chevelle concours (sw)
15	8	302.0	140.0	4294	16.0	ford gran torino (sw)
15	8	318.0	150.0	4077	14.0	plymouth satellite custom (sw)
20	4	121.0	112.0	2933	14.5	volvo 145e (sw)
20	4	121.0	76.00	2511	18.0	volkswagen 411 (sw)
20	4	120.0	87.00	2979	19.5	peugeot 504 (sw)
25	4	96.00	69.00	2189	18.0	renault 12 (sw)
20	4	122.0	86.00	2395	16.0	ford pinto (sw)
30	4	97.00	92.00	2288	17.0	datsun 510 (sw)
25	4	120.0	97.00	2506	14.5	toyouta corona mark ii (sw)
30	4	98.00	80.00	2164	15.0	dodge colt (sw)
25	4	97.00	88.00	2100	16.5	toyota corolla 1600 (sw)
15	8	350.0	175.0	4100	13.0	buick century 350
15	8	304.0	150.0	3672	11.5	amc matador
15	8	350.0	145.0	3988	13.0	chevrolet malibu
15	8	302.0	137.0	4042	14.5	ford gran torino
15	8	318.0	150.0	3777	12.5	dodge coronet custom
10	8	429.0	198.0	4952	11.5	mercury marquis brougham
15	8	400.0	150.0	4464	12.0	chevrolet caprice classic
15	8	351.0	158.0	4363	13.0	ford ltd
15	8	318.0	150.0	4237	14.5	plymouth fury gran sedan
15	8	440.0	215.0	4735	11.0	chrysler new yorker brougham
10	8	455.0	225.0	4951	11.0	buick electra 225 custom
15	8	360.0	175.0	3821	11.0	amc ambassador brougham
20	6	225.0	105.0	3121	16.5	plymouth valiant
